,RMSD,MCQ,TM-score
normalized_rhofold_rp32.pdb,2.283,45.02,0.483
normalized_vfoldpipeline_rp32.pdb,6.183,21.01,0.349
normalized_trrosettarna_rp32_2.pdb,6.313,38.55,0.25
normalized_trrosettarna_rp32_1.pdb,6.362,31.44,0.276
normalized_trrosettarna_rp32_3.pdb,6.427,31.26,0.274
normalized_rnacomposer_rp32.pdb,7.18,25.45,0.238
normalized_3drna_rp32_2.pdb,7.585,32.6,0.289
normalized_3drna_rp32_5.pdb,7.66,32.86,0.272
normalized_trrosettarna_rp32_5.pdb,8.926,41.61,0.234
normalized_eprna_rp32.pdb,10.429,92.24,0.141
normalized_trrosettarna_rp32_4.pdb,11.766,63.41,0.12
normalized_3drna_rp32_1.pdb,12.805,33.62,0.223
normalized_isrna_rp32.pdb,13.137,26.05,0.249
normalized_3drna_rp32_4.pdb,15.501,32.14,0.257
normalized_3drna_rp32_3.pdb,15.815,35.63,0.219
normalized_mcsym_rp32_3.pdb,21.961,35.16,0.242
normalized_vfold_rp32.pdb,22.167,31.0,0.282
normalized_mcsym_rp32_2.pdb,23.298,37.4,0.226
normalized_mcsym_rp32_5.pdb,25.746,39.45,0.275
normalized_mcsym_rp32_4.pdb,27.834,37.24,0.25
normalized_mcsym_rp32_1.pdb,27.851,37.02,0.262
normalized_best_rp32_70.pdb,,,0.345
normalized_best_rp32_61.pdb,,,0.191
normalized_best_rp32_40.pdb,,,0.22
normalized_best_rp32_56.pdb,,,0.247
normalized_best_rp32_7.pdb,,,0.287
normalized_best_rp32_48.pdb,,,0.211
normalized_best_rp32_89.pdb,,,0.247
normalized_best_rp32_90.pdb,,,0.133
normalized_best_rp32_54.pdb,,,0.263
normalized_best_rp32_5.pdb,,,0.204
normalized_best_rp32_57.pdb,,,0.302
normalized_best_rp32_95.pdb,,,0.229
normalized_best_rp32_99.pdb,,,0.2
normalized_best_rp32_77.pdb,,,0.22
normalized_best_rp32_3.pdb,,,0.188
normalized_best_rp32_45.pdb,,,0.212
normalized_best_rp32_86.pdb,,,0.224
normalized_best_rp32_36.pdb,,,0.236
normalized_best_rp32_97.pdb,,,0.208
normalized_best_rp32_32.pdb,,,0.272
normalized_best_rp32_34.pdb,,,0.282
normalized_best_rp32_38.pdb,,,0.299
normalized_best_rp32_71.pdb,,,0.201
normalized_best_rp32_98.pdb,,,0.247
normalized_best_rp32_14.pdb,,,0.181
normalized_best_rp32_10.pdb,,,0.258
normalized_best_rp32_9.pdb,,,0.217
normalized_best_rp32_73.pdb,,,0.234
normalized_best_rp32_87.pdb,,,0.285
normalized_best_rp32_92.pdb,,,0.274
normalized_best_rp32_39.pdb,,,0.247
normalized_best_rp32_81.pdb,,,0.263
normalized_best_rp32_53.pdb,,,0.27
normalized_best_rp32_28.pdb,,,0.207
normalized_best_rp32_25.pdb,,,0.252
normalized_best_rp32_104.pdb,,,0.276
normalized_best_rp32_19.pdb,,,0.232
normalized_best_rp32_88.pdb,,,0.141
normalized_best_rp32_47.pdb,,,0.231
normalized_alphafold3_rp32_5.pdb,,,0.266
normalized_best_rp32_51.pdb,,,0.163
normalized_best_rp32_67.pdb,,,0.27
normalized_best_rp32_49.pdb,,,0.274
normalized_best_rp32_102.pdb,,,0.236
normalized_best_rp32_4.pdb,,,0.287
normalized_best_rp32_35.pdb,,,0.245
normalized_best_rp32_64.pdb,,,0.258
normalized_best_rp32_62.pdb,,,0.264
normalized_best_rp32_59.pdb,,,0.346
normalized_best_rp32_16.pdb,,,0.306
normalized_best_rp32_2.pdb,,,0.252
normalized_best_rp32_30.pdb,,,0.337
normalized_best_rp32_15.pdb,,,0.199
normalized_best_rp32_96.pdb,,,0.263
normalized_alphafold3_rp32_3.pdb,,,0.246
normalized_best_rp32_101.pdb,,,0.225
normalized_best_rp32_76.pdb,,,0.214
normalized_best_rp32_21.pdb,,,0.255
normalized_best_rp32_60.pdb,,,0.298
normalized_best_rp32_84.pdb,,,0.227
normalized_best_rp32_6.pdb,,,0.244
normalized_best_rp32_68.pdb,,,0.288
normalized_best_rp32_65.pdb,,,0.247
normalized_best_rp32_26.pdb,,,0.211
normalized_best_rp32_105.pdb,,,0.199
normalized_best_rp32_11.pdb,,,0.232
normalized_best_rp32_94.pdb,,,0.206
normalized_best_rp32_43.pdb,,,0.268
normalized_alphafold3_rp32_1.pdb,,,0.238
normalized_best_rp32_20.pdb,,,0.239
normalized_best_rp32_41.pdb,,,0.287
normalized_alphafold3_rp32_2.pdb,,,0.259
normalized_best_rp32_33.pdb,,,0.262
normalized_best_rp32_80.pdb,,,0.282
normalized_best_rp32_55.pdb,,,0.236
normalized_best_rp32_63.pdb,,,0.221
normalized_best_rp32_17.pdb,,,0.181
normalized_best_rp32_31.pdb,,,0.277
normalized_best_rp32_85.pdb,,,0.263
normalized_best_rp32_42.pdb,,,0.193
normalized_best_rp32_69.pdb,,,0.296
normalized_best_rp32_23.pdb,,,0.3
normalized_best_rp32_37.pdb,,,0.244
normalized_alphafold3_rp32_4.pdb,,,0.253
normalized_best_rp32_79.pdb,,,0.286
normalized_best_rp32_46.pdb,,,0.328
normalized_best_rp32_66.pdb,,,0.353
normalized_best_rp32_100.pdb,,,0.264
normalized_best_rp32_75.pdb,,,0.259
normalized_best_rp32_72.pdb,,,0.251
normalized_best_rp32_1.pdb,,,0.262
normalized_best_rp32_74.pdb,,,0.242
normalized_best_rp32_24.pdb,,,0.236
normalized_best_rp32_50.pdb,,,0.231
normalized_best_rp32_91.pdb,,,0.287
normalized_best_rp32_27.pdb,,,0.317
normalized_best_rp32_44.pdb,,,0.252
normalized_simrna_rp32.pdb,,,0.071
normalized_best_rp32_103.pdb,,,0.255
normalized_best_rp32_8.pdb,,,0.235
normalized_best_rp32_29.pdb,,,0.229
normalized_best_rp32_106.pdb,,,0.353
normalized_best_rp32_52.pdb,,,0.268
normalized_best_rp32_82.pdb,,,0.133
normalized_best_rp32_58.pdb,,,0.247
normalized_best_rp32_22.pdb,,,0.262
normalized_rnajp_rp32.pdb,,,0.235
normalized_best_rp32_78.pdb,,,0.246
normalized_best_rp32_18.pdb,,,0.247
normalized_best_rp32_12.pdb,,,0.215
normalized_best_rp32_93.pdb,,,0.231
normalized_best_rp32_13.pdb,,,0.246
normalized_best_rp32_83.pdb,,,0.181
