selection,RMSD,MCQ,TM-score
all,"[np.float64(0.998899587740807), np.float64(0.8224050557286197), np.float64(0.8113900071879482), np.float64(0.972529021277196), np.float64(0.8300801600684959), np.float64(0.7883846421309196), np.float64(0.6713475425028379), np.float64(0.8016391979886387), np.float64(0.8605355438660819), np.float64(0.6277274020902894), np.float64(0.7147170169164836), np.float64(0.9694596317254953), np.float64(0.9291317783911123), np.float64(0.8190722487683035), np.float64(0.72353064528865), np.float64(0.6360689105014794), np.float64(0.5142414887524894), np.float64(0.8534060774162692), np.float64(0.7395797544458144), np.float64(0.9994938744300682), np.float64(0.3821331807524294)]","[np.float64(0.3658618465893525), np.float64(-0.30264270419601375), np.float64(0.07662676541439721), np.float64(0.22139115187226266), np.float64(0.12868161950969478), np.float64(0.04493889681624761), np.float64(0.31364271277530564), np.float64(0.10502007481737564), np.float64(0.25807322270762545), np.float64(-0.31944276511145503), np.float64(0.023876691800246378), np.float64(0.3808830431974786), np.float64(0.08553127618029548), np.float64(-0.18423068066919376), np.float64(-0.18349001741351245), np.float64(0.01624724918787734), np.float64(0.15702916782422882), np.float64(0.37726034100297157), np.float64(0.4208996715624036), np.float64(0.32787092321682343), np.float64(-0.16432937923039437)]","[np.float64(-0.6828510444475258), np.float64(-0.18213773692746538), np.float64(-0.6177451917341458), np.float64(-0.6016767663101388), np.float64(-0.6225487612457538), np.float64(-0.653454083405209), np.float64(-0.3861189392735375), np.float64(-0.34623041700037466), np.float64(-0.560314538043364), np.float64(-0.3604033542473939), np.float64(-0.6926659030179216), np.float64(-0.35389217233687165), np.float64(-0.5540822860654199), np.float64(-0.10496342471580494), np.float64(-0.43614224846748384), np.float64(-0.5956794506328257), np.float64(-0.36351831922560685), np.float64(-0.43407479008783134), np.float64(-0.42628892866378365), np.float64(-0.8265640153966134), np.float64(-0.19808533496523983)]"
['P'],"[np.float64(0.998899587740807), np.float64(0.8224050557286197), np.float64(0.8113900071879482), np.float64(0.972529021277196), np.float64(0.8300801600684959), np.float64(0.7883846421309196), np.float64(0.6713475425028379), np.float64(0.8016391979886387), np.float64(0.8605355438660819), np.float64(0.6277274020902894), np.float64(0.7147170169164836), np.float64(0.9694596317254953), np.float64(0.9291317783911123), np.float64(0.8190722487683035), np.float64(0.72353064528865), np.float64(0.6360689105014794), np.float64(0.5142414887524894), np.float64(0.8534060774162692), np.float64(0.7395797544458144), np.float64(0.9994938744300682), np.float64(0.3821331807524294)]","[np.float64(0.3658618465893525), np.float64(-0.30264270419601375), np.float64(0.07662676541439721), np.float64(0.22139115187226266), np.float64(0.12868161950969478), np.float64(0.04493889681624761), np.float64(0.31364271277530564), np.float64(0.10502007481737564), np.float64(0.25807322270762545), np.float64(-0.31944276511145503), np.float64(0.023876691800246378), np.float64(0.3808830431974786), np.float64(0.08553127618029548), np.float64(-0.18423068066919376), np.float64(-0.18349001741351245), np.float64(0.01624724918787734), np.float64(0.15702916782422882), np.float64(0.37726034100297157), np.float64(0.4208996715624036), np.float64(0.32787092321682343), np.float64(-0.16432937923039437)]","[np.float64(-0.6828510444475258), np.float64(-0.18213773692746538), np.float64(-0.6177451917341458), np.float64(-0.6016767663101388), np.float64(-0.6225487612457538), np.float64(-0.653454083405209), np.float64(-0.3861189392735375), np.float64(-0.34623041700037466), np.float64(-0.560314538043364), np.float64(-0.3604033542473939), np.float64(-0.6926659030179216), np.float64(-0.35389217233687165), np.float64(-0.5540822860654199), np.float64(-0.10496342471580494), np.float64(-0.43614224846748384), np.float64(-0.5956794506328257), np.float64(-0.36351831922560685), np.float64(-0.43407479008783134), np.float64(-0.42628892866378365), np.float64(-0.8265640153966134), np.float64(-0.19808533496523983)]"
"[""C5'""]","[np.float64(0.998899587740807), np.float64(0.8224050557286197), np.float64(0.8113900071879482), np.float64(0.972529021277196), np.float64(0.8300801600684959), np.float64(0.7883846421309196), np.float64(0.6713475425028379), np.float64(0.8016391979886387), np.float64(0.8605355438660819), np.float64(0.6277274020902894), np.float64(0.7147170169164836), np.float64(0.9694596317254953), np.float64(0.9291317783911123), np.float64(0.8190722487683035), np.float64(0.72353064528865), np.float64(0.6360689105014794), np.float64(0.5142414887524894), np.float64(0.8534060774162692), np.float64(0.7395797544458144), np.float64(0.9994938744300682), np.float64(0.3821331807524294)]","[np.float64(0.3658618465893525), np.float64(-0.30264270419601375), np.float64(0.07662676541439721), np.float64(0.22139115187226266), np.float64(0.12868161950969478), np.float64(0.04493889681624761), np.float64(0.31364271277530564), np.float64(0.10502007481737564), np.float64(0.25807322270762545), np.float64(-0.31944276511145503), np.float64(0.023876691800246378), np.float64(0.3808830431974786), np.float64(0.08553127618029548), np.float64(-0.18423068066919376), np.float64(-0.18349001741351245), np.float64(0.01624724918787734), np.float64(0.15702916782422882), np.float64(0.37726034100297157), np.float64(0.4208996715624036), np.float64(0.32787092321682343), np.float64(-0.16432937923039437)]","[np.float64(-0.6828510444475258), np.float64(-0.18213773692746538), np.float64(-0.6177451917341458), np.float64(-0.6016767663101388), np.float64(-0.6225487612457538), np.float64(-0.653454083405209), np.float64(-0.3861189392735375), np.float64(-0.34623041700037466), np.float64(-0.560314538043364), np.float64(-0.3604033542473939), np.float64(-0.6926659030179216), np.float64(-0.35389217233687165), np.float64(-0.5540822860654199), np.float64(-0.10496342471580494), np.float64(-0.43614224846748384), np.float64(-0.5956794506328257), np.float64(-0.36351831922560685), np.float64(-0.43407479008783134), np.float64(-0.42628892866378365), np.float64(-0.8265640153966134), np.float64(-0.19808533496523983)]"
"[""O5'""]","[np.float64(0.998899587740807), np.float64(0.8224050557286197), np.float64(0.8113900071879482), np.float64(0.972529021277196), np.float64(0.8300801600684959), np.float64(0.7883846421309196), np.float64(0.6713475425028379), np.float64(0.8016391979886387), np.float64(0.8605355438660819), np.float64(0.6277274020902894), np.float64(0.7147170169164836), np.float64(0.9694596317254953), np.float64(0.9291317783911123), np.float64(0.8190722487683035), np.float64(0.72353064528865), np.float64(0.6360689105014794), np.float64(0.5142414887524894), np.float64(0.8534060774162692), np.float64(0.7395797544458144), np.float64(0.9994938744300682), np.float64(0.3821331807524294)]","[np.float64(0.3658618465893525), np.float64(-0.30264270419601375), np.float64(0.07662676541439721), np.float64(0.22139115187226266), np.float64(0.12868161950969478), np.float64(0.04493889681624761), np.float64(0.31364271277530564), np.float64(0.10502007481737564), np.float64(0.25807322270762545), np.float64(-0.31944276511145503), np.float64(0.023876691800246378), np.float64(0.3808830431974786), np.float64(0.08553127618029548), np.float64(-0.18423068066919376), np.float64(-0.18349001741351245), np.float64(0.01624724918787734), np.float64(0.15702916782422882), np.float64(0.37726034100297157), np.float64(0.4208996715624036), np.float64(0.32787092321682343), np.float64(-0.16432937923039437)]","[np.float64(-0.6828510444475258), np.float64(-0.18213773692746538), np.float64(-0.6177451917341458), np.float64(-0.6016767663101388), np.float64(-0.6225487612457538), np.float64(-0.653454083405209), np.float64(-0.3861189392735375), np.float64(-0.34623041700037466), np.float64(-0.560314538043364), np.float64(-0.3604033542473939), np.float64(-0.6926659030179216), np.float64(-0.35389217233687165), np.float64(-0.5540822860654199), np.float64(-0.10496342471580494), np.float64(-0.43614224846748384), np.float64(-0.5956794506328257), np.float64(-0.36351831922560685), np.float64(-0.43407479008783134), np.float64(-0.42628892866378365), np.float64(-0.8265640153966134), np.float64(-0.19808533496523983)]"
"['P', ""O5'"", ""C5'"", ""C4'"", ""C3'"", ""C2'"", ""C1'"", ""O1'"", ""O3'""]","[np.float64(0.998899587740807), np.float64(0.8224050557286197), np.float64(0.8113900071879482), np.float64(0.972529021277196), np.float64(0.8300801600684959), np.float64(0.7883846421309196), np.float64(0.6713475425028379), np.float64(0.8016391979886387), np.float64(0.8605355438660819), np.float64(0.6277274020902894), np.float64(0.7147170169164836), np.float64(0.9694596317254953), np.float64(0.9291317783911123), np.float64(0.8190722487683035), np.float64(0.72353064528865), np.float64(0.6360689105014794), np.float64(0.5142414887524894), np.float64(0.8534060774162692), np.float64(0.7395797544458144), np.float64(0.9994938744300682), np.float64(0.3821331807524294)]","[np.float64(0.3658618465893525), np.float64(-0.30264270419601375), np.float64(0.07662676541439721), np.float64(0.22139115187226266), np.float64(0.12868161950969478), np.float64(0.04493889681624761), np.float64(0.31364271277530564), np.float64(0.10502007481737564), np.float64(0.25807322270762545), np.float64(-0.31944276511145503), np.float64(0.023876691800246378), np.float64(0.3808830431974786), np.float64(0.08553127618029548), np.float64(-0.18423068066919376), np.float64(-0.18349001741351245), np.float64(0.01624724918787734), np.float64(0.15702916782422882), np.float64(0.37726034100297157), np.float64(0.4208996715624036), np.float64(0.32787092321682343), np.float64(-0.16432937923039437)]","[np.float64(-0.6828510444475258), np.float64(-0.18213773692746538), np.float64(-0.6177451917341458), np.float64(-0.6016767663101388), np.float64(-0.6225487612457538), np.float64(-0.653454083405209), np.float64(-0.3861189392735375), np.float64(-0.34623041700037466), np.float64(-0.560314538043364), np.float64(-0.3604033542473939), np.float64(-0.6926659030179216), np.float64(-0.35389217233687165), np.float64(-0.5540822860654199), np.float64(-0.10496342471580494), np.float64(-0.43614224846748384), np.float64(-0.5956794506328257), np.float64(-0.36351831922560685), np.float64(-0.43407479008783134), np.float64(-0.42628892866378365), np.float64(-0.8265640153966134), np.float64(-0.19808533496523983)]"
